Timestamp,Counter,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8
11:57:001:00692,30232,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,-0.000225728,0.000103121,-0.000225728,0.000103121,0.000103121,-0.0242317,0.0125994,-0.000225728
11:57:001:00693,31159,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000431969,-0.000225728,-0.000225728,0.000103121,0.000103121,-0.0245605,0.0129282,0.000103121
11:57:001:00694,32054,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000103121,0.000431969,-0.000225728,0.000103121,-0.000225728,-0.0232451,0.0135859,-0.000225728
11:57:001:00695,33022,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000431969,-0.000225728,-0.000225728,-0.000225728,-0.000225728,-0.0222586,0.0142436,0.000103121
11:57:001:00696,34195,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000103121,0.000103121,0.000103121,0.000103121,-0.000225728,-0.0219297,0.0152302,0.000103121
11:57:001:00698,35303,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000103121,-0.000225728,0.000103121,-0.000225728,-0.000225728,-0.0216009,0.0162167,0.000431969
11:57:001:00699,36300,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000103121,0.000103121,-0.000225728,0.000103121,0.000103121,-0.0216009,0.0162167,-0.000225728
11:57:001:00700,37322,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000431969,0.000431969,0.000103121,-0.000225728,0.000431969,-0.021272,0.015559,0.000431969
11:57:001:00701,38317,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,-0.000225728,0.000103121,-0.000225728,0.000103121,0.000103121,-0.0206143,0.0172033,-0.000225728
11:57:001:00702,39261,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000103121,-0.000554577,0.000760818,-0.000225728,0.000103121,-0.0202855,0.0181898,0.000103121
11:57:001:00702,40247,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000431969,-0.000225728,-0.000225728,0.000103121,0.000431969,-0.0206143,0.0175321,-0.000225728
11:57:001:00703,41143,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,-0.000225728,0.000103121,0.000760818,-0.000225728,0.000103121,-0.0206143,0.0172033,0.000431969
11:57:001:00704,42073,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000103121,0.000431969,0.000103121,0.000103121,0.000431969,-0.0206143,0.017861,-0.000225728
11:57:001:00705,43012,-0.000225728,0.000103121,-0.000225728,0.000431969,0.000103121,0.000103121,-0.000225728,0.000760818,-0.000225728,0.000431969,-0.000225728,0.000431969,-0.000225728,0.000103121,-0.000883426,0.000431969,-0.000225728,0.000103121,0.000103121,5.0236,5.02229,5.02196,5.02163,5.02097,5.02064,0.000431969,-0.000225728,0.000103121,0.000103121,0.000103121,-0.000554577,0.000103121,-0.000225728,0.000760818,0.000103121,0.000431969,-0.0206143,0.0175321,0.000431969
